2	-0.22849	-0.20683	-0.27719	-0.26537
3	-0.18169	-0.17372	-0.29671	-0.28743
4	-0.21148	-0.21093	-0.34401	-0.34218
5	-0.21441	-0.21285	-0.36875	-0.36761
6	-0.22517	-0.22557	-0.38462	-0.38414
7	-0.21740	-0.21817	-0.38751	-0.38775
8	-0.21679	-0.21767	-0.38552	-0.38541
9	-0.20214	-0.20307	-0.37280	-0.37318
10	-0.19358	-0.19489	-0.35880	-0.35835
11	-0.17469	-0.17483	-0.33469	-0.33426
12	-0.16152	-0.16194	-0.30989	-0.30943
13	-0.14067	-0.14046	-0.27531	-0.27508
14	-0.12239	-0.12191	-0.23549	-0.23480
15	-0.09197	-0.09143	-0.17473	-0.17561
16	-0.02896	-0.03003	-0.05224	-0.05174

