2	-0.07536	-0.10075	-0.10237	-0.16556
3	-0.19611	-0.19584	-0.28352	-0.28169
4	-0.20044	-0.20184	-0.30621	-0.30824
5	-0.21380	-0.21178	-0.33978	-0.33873
6	-0.19334	-0.19274	-0.33353	-0.33290
7	-0.18386	-0.18465	-0.32079	-0.32132
8	-0.10898	-0.10929	-0.22659	-0.22654
9	-0.06386	nan		-0.15000	nan	
10	-0.06051	nan		-0.10507	nan
11	-0.08904	-0.08839	-0.18491	-0.18307
12	-0.13256	-0.13185	-0.26693	-0.26715
13	-0.13834	-0.13799	-0.27723	-0.27616
14	-0.14161	-0.14102	-0.28009	-0.27963
15	-0.12824	-0.12675	-0.24774	-0.24745
16	-0.11497	-0.11494	-0.21926	-0.22008
17	-0.08882	-0.08864	-0.15749	-0.15884
18	-0.03027	-0.03042	-0.06006	-0.06065

