#concentration #alpha1 # aplha2 #beta1 
0  0.01760 -0.08431 -0.14098 0 0 0 
0.1 0.00610 -0.07754 -0.12086 0.00074 0.00074 0.00069
0.3 -0.00837 -0.07304  -0.09822 0.00073 0.00073 0.00068 
1  -0.00167 -0.05800 -0.08842 0.00072 0.00072 0.00068 
3 -0.00559  -0.00844 -0.02827 0.00071 0.00071 0.00067
