#concentration #alpha1 # aplha2 #beta1 #beta2 
0 0.02419 0.02349 -0.06335 -0.06189 0 0 0 0
0.1 0.01485 0.01571 -0.07297 -0.06871 0.00074 0.00074 0.00069 0.00068
0.3 0.00158 0.00551 -0.08139 -0.07821 0.00073 0.00073 0.00068 0.00068
1  -0.01501 -0.01088 -0.09009 -0.08725 0.00072 0.00072 0.00068 0.00067
3 -0.02805 -0.03514  -0.10731 -0.09921 0.00071 0.00071 0.00067 0.00066
